"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/08/06","10:22:38",-0.7531,30.019,30.933,52.302,47101.544,1018.671,18.674,0.37,0.37,2.8,NA,NA,NA,NA,NA
"2","2021/08/06","10:22:38",-0.7531,30.046,30.935,52.332,47103.098,1018.663,18.667,0.35,0.35,2.87,NA,NA,NA,NA,NA
"3","2021/08/06","10:22:38",-0.7531,30.068,30.93,52.345,47094.532,1018.652,18.655,0.35,0.35,3.06,NA,NA,NA,NA,NA
"4","2021/08/06","10:22:38",-0.7531,30.081,30.907,52.323,47062.78,1018.631,18.634,0.38,0.38,2.63,NA,NA,NA,NA,NA
"5","2021/08/06","10:22:38",-0.7335,30.084,30.899,52.314,47051.743,1018.624,18.627,0.38,0.38,2.59,NA,NA,NA,NA,NA
"6","2021/08/06","10:22:38",-0.7531,30.072,30.905,52.313,47060.989,1018.632,18.636,0.36,0.36,2.7,NA,NA,NA,NA,NA
"7","2021/08/06","10:22:38",-0.7531,30.083,30.908,52.327,47064.409,1018.631,18.634,0.38,0.38,2.72,NA,NA,NA,NA,NA
"8","2021/08/06","10:22:38",-0.7531,30.064,30.874,52.258,47019.41,1018.612,18.615,0.38,0.38,2.8,NA,NA,NA,NA,NA
"9","2021/08/06","10:22:38",-0.7335,30.014,30.885,52.227,47037.967,1018.637,18.64,0.35,0.35,2.93,NA,NA,NA,NA,NA
"10","2021/08/06","10:22:39",-0.7335,29.998,30.907,52.245,47068.944,1018.659,18.662,0.36,0.36,2.82,NA,NA,NA,NA,NA
"11","2021/08/06","10:22:39",-0.7335,30.022,30.892,52.244,47046.095,1018.639,18.643,0.37,0.37,2.77,NA,NA,NA,NA,NA
"12","2021/08/06","10:22:39",-0.7531,30.037,30.842,52.182,46976.875,1018.597,18.6,0.38,0.38,2.73,NA,NA,NA,NA,NA
"13","2021/08/06","10:22:39",-0.7531,30.052,30.833,52.185,46964.749,1018.585,18.589,0.38,0.38,2.83,NA,NA,NA,NA,NA
"14","2021/08/06","10:22:39",-0.7335,30.059,30.778,52.108,46889.376,1018.542,18.545,0.35,0.35,2.93,NA,5.501,NA,5.517,5.517
"15","2021/08/06","10:22:39",-0.7139,30.033,30.759,52.053,46864.461,1018.536,18.539,0.35,0.35,2.87,NA,5.483,NA,5.498,5.498
"16","2021/08/06","10:22:39",-0.7335,30.007,30.785,52.068,46902.335,1018.565,18.568,0.34,0.34,3.02,NA,5.473,NA,5.488,5.488
"17","2021/08/06","10:22:39",-0.7335,29.998,30.812,52.1,46939.044,1018.588,18.591,0.35,0.35,3.06,NA,5.478,NA,5.494,5.494
"18","2021/08/06","10:22:39",-0.7335,29.991,30.815,52.098,46943.213,1018.592,18.595,0.36,0.36,3,NA,5.484,NA,5.499,5.499
"19","2021/08/06","10:22:39",-0.7139,30.031,30.805,52.121,46927.343,1018.571,18.574,0.36,0.36,2.96,NA,5.491,NA,5.506,5.507
"20","2021/08/06","10:22:40",-0.7139,30.068,30.782,52.123,46894.152,1018.542,18.545,0.34,0.34,2.96,NA,5.496,NA,5.512,5.512
"21","2021/08/06","10:22:40",-0.7139,30.095,30.78,52.145,46889.412,1018.531,18.534,0.34,0.34,3,NA,5.495,NA,5.51,5.511
"22","2021/08/06","10:22:40",-0.7139,30.119,30.789,52.181,46899.424,1018.53,18.533,0.34,0.34,2.97,NA,5.481,NA,5.496,5.497
"23","2021/08/06","10:22:40",-0.7139,30.128,30.787,52.188,46896.952,1018.525,18.528,0.36,0.36,2.99,NA,5.479,NA,5.494,5.494
"24","2021/08/06","10:22:40",-0.7139,30.119,30.791,52.185,46902.809,1018.531,18.535,0.35,0.35,3.09,NA,5.478,NA,5.493,5.493
"25","2021/08/06","10:22:40",-0.7139,30.101,30.81,52.195,46928.896,1018.551,18.554,0.37,0.37,3.02,NA,5.474,NA,5.49,5.49
"26","2021/08/06","10:22:40",-0.7335,30.083,30.819,52.193,46943.395,1018.565,18.568,0.37,0.37,3.06,NA,5.467,NA,5.482,5.483
"27","2021/08/06","10:22:40",-0.7335,30.044,30.843,52.191,46978.523,1018.596,18.599,0.37,0.37,3,NA,5.465,NA,5.48,5.48
"28","2021/08/06","10:22:40",-0.7335,30.024,30.831,52.154,46963.361,1018.593,18.596,0.38,0.38,3.03,86.23,5.461,7.6,5.476,5.476
"29","2021/08/06","10:22:40",-0.7139,30.013,30.838,52.154,46973.72,1018.602,18.605,0.38,0.38,NA,86.15,5.458,7.6,5.473,5.473
"30","2021/08/06","10:22:41",-0.7335,29.993,30.84,52.138,46977.373,1018.61,18.613,0.36,0.36,3.2,NA,5.47,NA,5.486,5.486
"31","2021/08/06","10:22:41",-0.7139,29.968,30.863,52.148,47010.821,1018.636,18.639,0.36,0.36,2.99,86.23,5.471,7.6,5.486,5.486
"32","2021/08/06","10:22:41",-0.7335,29.944,30.865,52.129,47015.454,1018.646,18.649,0.38,0.38,2.95,NA,5.478,7.6,5.493,5.494
