//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=320       
StartTime=2021/06/24 07:54:31
EndTime=2021/06/24 07:55:02
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/24,07:54:31,-0.5372,24.870,0.028,0.046,46.283,997.099,-2.899,-0.06,-0.06,0.06,95.17,7.893,7.88,7.913,7.913,
2021/06/24,07:54:31,-0.5764,24.870,0.028,0.046,46.206,997.098,-2.899,-0.06,-0.06,0.06,95.08,7.886,7.87,7.906,7.906,
2021/06/24,07:54:31,-0.5764,24.874,0.028,0.046,46.333,997.098,-2.900,-0.06,-0.06,0.06,95.27,7.902,7.89,7.922,7.922,
2021/06/24,07:54:31,-0.5764,24.874,0.028,0.046,46.297,997.097,-2.900,-0.06,-0.06,0.06,95.10,7.888,7.92,7.908,7.909,
2021/06/24,07:54:31,-0.5764,24.875,0.028,0.046,46.360,997.097,-2.900,-0.06,-0.06,0.06,95.19,7.896,7.91,7.916,7.916,
2021/06/24,07:54:31,-0.5764,24.874,0.028,0.046,46.051,997.097,-2.900,-0.06,-0.06,0.06,95.21,7.897,7.91,7.917,7.917,
2021/06/24,07:54:31,-0.5764,24.872,0.028,0.046,46.159,997.098,-2.900,-0.07,-0.07,0.06,95.15,7.891,7.92,7.912,7.912,
2021/06/24,07:54:31,-0.5568,24.871,0.028,0.046,46.331,997.098,-2.899,-0.06,-0.06,0.04,95.22,7.897,7.91,7.917,7.918,
2021/06/24,07:54:31,-0.5764,24.868,0.028,0.046,46.195,997.099,-2.898,-0.06,-0.06,0.06,95.20,7.895,7.93,7.915,7.915,
2021/06/24,07:54:31,-0.5764,24.865,0.028,0.046,46.016,997.100,-2.898,-0.06,-0.06,0.06,95.26,7.900,7.95,7.920,7.920,
2021/06/24,07:54:32,-0.5764,24.863,0.028,0.046,46.083,997.100,-2.897,-0.06,-0.06,0.04,95.22,7.897,7.96,7.917,7.917,
2021/06/24,07:54:32,-0.5764,24.863,0.028,0.046,46.460,997.100,-2.897,-0.07,-0.07,0.06,95.25,7.899,7.95,7.919,7.919,
2021/06/24,07:54:32,-0.5764,24.863,0.028,0.046,46.422,997.100,-2.897,-0.07,-0.07,0.06,95.24,7.898,7.97,7.918,7.919,
2021/06/24,07:54:32,-0.5764,24.866,0.028,0.046,46.215,997.100,-2.898,-0.07,-0.07,0.06,95.24,7.898,7.95,7.918,7.918,
2021/06/24,07:54:32,-0.5764,24.868,0.028,0.046,46.491,997.099,-2.898,-0.06,-0.06,0.06,95.19,7.894,7.97,7.914,7.914,
2021/06/24,07:54:32,-0.5764,24.867,0.028,0.046,46.355,997.099,-2.898,-0.06,-0.06,0.04,95.23,7.896,7.99,7.916,7.917,
2021/06/24,07:54:32,-0.5764,24.869,0.028,0.046,46.322,997.099,-2.899,-0.07,-0.07,0.06,95.11,7.886,7.97,7.906,7.907,
2021/06/24,07:54:32,-0.5764,24.874,0.028,0.046,46.564,997.098,-2.900,-0.07,-0.07,0.06,95.19,7.892,7.98,7.913,7.913,
2021/06/24,07:54:32,-0.5764,24.876,0.028,0.046,45.907,997.097,-2.901,-0.07,-0.07,0.06,95.11,7.885,7.99,7.905,7.905,
2021/06/24,07:54:32,-0.5764,24.875,0.028,0.046,46.390,997.097,-2.900,-0.06,-0.06,0.04,95.22,7.895,7.99,7.915,7.915,
2021/06/24,07:54:33,-0.5764,24.872,0.028,0.046,46.010,997.098,-2.899,-0.06,-0.06,0.06,95.19,7.892,8.00,7.912,7.912,
2021/06/24,07:54:33,-0.5764,24.870,0.028,0.046,45.942,997.098,-2.899,-0.06,-0.06,0.04,95.10,7.885,8.00,7.905,7.905,
2021/06/24,07:54:33,-0.5764,24.866,0.028,0.046,46.075,997.099,-2.898,-0.06,-0.06,0.04,95.32,7.903,8.01,7.923,7.923,
2021/06/24,07:54:33,-0.5764,24.865,0.028,0.046,45.934,997.100,-2.898,-0.06,-0.06,0.06,95.24,7.897,8.00,7.917,7.917,
2021/06/24,07:54:33,-0.5764,24.863,0.028,0.046,46.622,997.100,-2.897,-0.06,-0.06,0.06,95.24,7.896,8.00,7.916,7.917,
2021/06/24,07:54:33,-0.5764,24.862,0.028,0.046,46.450,997.101,-2.897,-0.06,-0.06,0.06,95.10,7.884,8.00,7.904,7.904,
2021/06/24,07:54:33,-0.5764,24.862,0.028,0.046,46.414,997.101,-2.897,-0.06,-0.06,0.04,95.11,7.885,8.01,7.905,7.905,
2021/06/24,07:54:33,-0.5764,24.862,0.028,0.046,46.377,997.101,-2.897,-0.07,-0.07,0.04,95.18,7.891,8.00,7.911,7.911,
2021/06/24,07:54:33,-0.5961,24.861,0.028,0.046,46.066,997.101,-2.897,-0.06,-0.06,0.04,95.05,7.879,8.00,7.899,7.899,
2021/06/24,07:54:33,-0.5764,24.862,0.028,0.046,46.447,997.101,-2.897,-0.06,-0.06,0.04,95.08,7.881,8.03,7.901,7.902,
2021/06/24,07:54:34,-0.5764,24.865,0.028,0.046,46.342,997.100,-2.898,-0.06,-0.06,0.06,95.09,7.881,8.03,7.901,7.902,
2021/06/24,07:54:34,-0.5764,24.868,0.028,0.046,46.203,997.099,-2.898,-0.06,-0.06,0.04,95.10,7.882,8.01,7.902,7.903,
2021/06/24,07:54:34,-0.5764,24.868,0.028,0.046,46.166,997.099,-2.898,-0.06,-0.06,0.04,95.03,7.876,8.02,7.896,7.896,
2021/06/24,07:54:34,-0.5764,24.866,0.028,0.046,45.991,997.099,-2.898,-0.07,-0.07,0.04,95.01,7.874,8.03,7.894,7.895,
2021/06/24,07:54:34,-0.5764,24.865,0.028,0.046,46.200,997.100,-2.898,-0.06,-0.06,0.04,95.10,7.882,8.03,7.902,7.902,
2021/06/24,07:54:34,-0.5764,24.862,0.028,0.046,46.203,997.100,-2.897,-0.11,-0.11,0.85,95.17,7.888,8.04,7.908,7.908,
2021/06/24,07:54:34,-0.5764,24.860,0.028,0.046,46.439,997.101,-2.896,-0.11,-0.11,1.38,95.14,7.885,8.06,7.905,7.906,
2021/06/24,07:54:34,-0.5764,24.861,0.028,0.046,46.504,997.101,-2.896,-0.12,-0.12,1.61,95.27,7.897,8.02,7.917,7.917,
2021/06/24,07:54:34,-0.5961,24.862,0.028,0.046,46.395,997.100,-2.897,-0.15,-0.15,1.52,95.24,7.894,8.04,7.914,7.914,
2021/06/24,07:54:34,-0.5961,24.864,0.028,0.046,46.460,997.100,-2.897,-0.17,-0.17,1.44,95.24,7.894,8.04,7.914,7.915,
2021/06/24,07:54:35,-0.5764,24.867,0.028,0.046,46.349,997.099,-2.898,-0.12,-0.12,1.04,95.15,7.886,8.02,7.906,7.906,
2021/06/24,07:54:35,-0.5764,24.871,0.028,0.046,46.101,997.098,-2.899,-0.10,-0.10,0.95,95.05,7.878,8.04,7.898,7.899,
2021/06/24,07:54:35,-0.5764,24.873,0.028,0.046,46.095,997.098,-2.900,-0.08,-0.08,1.52,95.06,7.879,8.02,7.899,7.899,
2021/06/24,07:54:35,-0.5961,24.873,0.028,0.046,46.197,997.098,-2.900,-0.07,-0.07,1.92,95.05,7.878,8.04,7.898,7.899,
2021/06/24,07:54:35,-0.5764,24.874,0.028,0.046,45.884,997.097,-2.900,-0.07,-0.07,2.45,95.10,7.882,8.05,7.902,7.902,
