//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=200       
StartTime=2021/06/10 08:21:46
EndTime=2021/06/10 08:22:05
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/06/10,08:21:46,-0.4979,26.636,25.083,40.666,39252.962,1015.377,15.379,0.32,0.32,4.66,97.47,6.765,8.00,6.784,6.784,
2021/06/10,08:21:46,-0.4979,26.648,25.085,40.678,39255.116,1015.375,15.377,0.33,0.33,1.72,98.03,6.810,8.01,6.830,6.830,
2021/06/10,08:21:46,-0.5176,26.658,25.085,40.685,39253.648,1015.372,15.374,0.33,0.33,1.01,98.35,6.836,8.00,6.856,6.856,
2021/06/10,08:21:46,-0.5176,26.664,25.086,40.692,39255.325,1015.371,15.373,0.34,0.34,0.80,98.48,6.845,8.04,6.865,6.866,
2021/06/10,08:21:46,-0.5176,26.682,25.085,40.705,39252.421,1015.365,15.367,0.34,0.34,0.71,98.49,6.844,8.04,6.864,6.864,
2021/06/10,08:21:46,-0.5176,26.701,25.077,40.709,39240.423,1015.353,15.355,0.33,0.33,0.63,98.27,6.823,8.05,6.843,6.843,
2021/06/10,08:21:46,-0.5176,26.720,25.077,40.723,39238.177,1015.347,15.349,0.34,0.34,0.64,97.98,6.798,8.07,6.818,6.818,
2021/06/10,08:21:46,-0.5176,26.722,25.072,40.717,39230.769,1015.342,15.345,0.34,0.34,0.67,97.71,6.777,8.07,6.796,6.797,
2021/06/10,08:21:46,-0.5176,26.710,25.089,40.732,39255.431,1015.359,15.361,0.33,0.33,0.61,97.18,6.738,8.06,6.758,6.758,
2021/06/10,08:21:46,-0.5176,26.696,25.088,40.721,39256.300,1015.363,15.365,0.32,0.32,0.63,96.49,6.691,8.06,6.710,6.710,
2021/06/10,08:21:47,-0.5176,26.692,25.105,40.742,39280.505,1015.377,15.379,0.33,0.33,0.63,95.65,6.631,8.07,6.650,6.651,
2021/06/10,08:21:47,-0.4979,26.693,25.110,40.750,39287.101,1015.380,15.382,0.36,0.36,0.60,94.81,6.572,8.09,6.591,6.591,
2021/06/10,08:21:47,-0.5176,26.697,25.106,40.747,39280.717,1015.376,15.378,0.34,0.34,0.63,93.88,6.508,8.09,6.527,6.527,
2021/06/10,08:21:47,-0.5176,26.709,25.102,40.751,39275.018,1015.370,15.372,0.33,0.33,0.65,93.15,6.456,8.10,6.475,6.475,
2021/06/10,08:21:47,-0.5176,26.722,25.091,40.746,39258.450,1015.357,15.359,0.33,0.33,0.81,92.46,6.408,8.11,6.427,6.427,
2021/06/10,08:21:47,-0.5176,26.727,25.099,40.761,39269.236,1015.362,15.364,0.32,0.32,0.78,91.94,6.371,8.10,6.389,6.389,
2021/06/10,08:21:47,-0.5176,26.726,25.102,40.765,39273.123,1015.364,15.366,0.34,0.34,0.67,91.45,6.336,8.12,6.355,6.355,
2021/06/10,08:21:47,-0.5176,26.727,25.105,40.770,39277.982,1015.366,15.369,0.33,0.33,0.65,91.04,6.309,8.11,6.327,6.327,
2021/06/10,08:21:47,-0.4979,26.729,25.111,40.780,39285.500,1015.370,15.372,0.34,0.34,0.63,90.79,6.291,8.11,6.309,6.309,
2021/06/10,08:21:47,-0.5176,26.723,25.119,40.787,39297.474,1015.378,15.380,0.34,0.34,0.64,90.49,6.270,8.12,6.289,6.289,
2021/06/10,08:21:48,-0.5176,26.720,25.126,40.795,39307.442,1015.384,15.386,0.34,0.34,0.67,90.16,6.246,8.13,6.265,6.265,
2021/06/10,08:21:48,-0.5176,26.727,25.127,40.802,39308.413,1015.382,15.385,0.33,0.33,0.67,89.89,6.228,8.14,6.246,6.246,
2021/06/10,08:21:48,-0.5176,26.729,25.132,40.810,39314.917,1015.385,15.388,0.33,0.33,0.64,89.66,6.212,8.13,6.230,6.230,
2021/06/10,08:21:48,-0.5176,26.730,25.132,40.811,39315.446,1015.385,15.388,0.32,0.32,0.64,89.33,6.190,8.14,6.208,6.208,
2021/06/10,08:21:48,-0.5176,26.730,25.135,40.815,39319.028,1015.387,15.390,0.31,0.31,0.61,89.17,6.178,8.14,6.196,6.196,
2021/06/10,08:21:48,-0.5176,26.727,25.143,40.825,39331.250,1015.395,15.397,0.31,0.31,0.58,88.95,6.163,8.14,6.181,6.181,
2021/06/10,08:21:48,-0.5176,26.723,25.149,40.830,39339.119,1015.400,15.402,0.32,0.32,0.54,88.73,6.147,8.14,6.165,6.165,
2021/06/10,08:21:48,-0.5372,26.724,25.151,40.835,39342.517,1015.401,15.404,0.32,0.32,0.60,88.57,6.136,8.16,6.154,6.154,
2021/06/10,08:21:48,-0.5176,26.728,25.156,40.845,39349.616,1015.404,15.406,0.34,0.34,0.57,88.48,6.129,8.15,6.147,6.147,
