"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.24,NA,NA,NA,NA
"2","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.14,NA,NA,NA,NA
"3","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.08,NA,NA,NA,NA
"4","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.06,NA,NA,NA,NA
"5","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,NA,NA,NA,NA
"6","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.1,NA,NA,NA,NA
"7","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.11,NA,NA,NA,NA
"8","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.17,NA,NA,NA,NA
"9","2021/03/04","10:04:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.06,NA,NA,NA,NA
"10","2021/03/04","10:04:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.75,NA,NA,NA,NA
"11","2021/03/04","10:04:48",-0.1446,NA,NA,NA,NA,NA,NA,0.11,0.11,NA,97.24,7.175,NA,7.19,7.191
"12","2021/03/04","10:04:48",-0.125,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,97.39,NA,NA,NA,NA
"13","2021/03/04","10:04:48",-0.1446,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,97.44,NA,NA,7.197,7.198
"14","2021/03/04","10:04:48",-0.125,NA,NA,NA,NA,NA,NA,0.18,0.18,NA,97.43,7.177,NA,7.192,7.193
"15","2021/03/04","10:04:48",-0.1446,NA,NA,NA,NA,NA,NA,0.18,0.18,0.67,97.5,NA,NA,7.196,7.197
"16","2021/03/04","10:04:48",-0.125,20.352,NA,NA,NA,NA,NA,0.16,0.16,0.65,97.51,NA,NA,7.196,7.197
"17","2021/03/04","10:04:48",-0.125,20.378,34.736,NA,53407.91,1024.459,24.46,0.18,0.18,0.65,97.32,7.168,NA,7.183,7.184
"18","2021/03/04","10:04:48",-0.125,20.393,34.73,NA,53397.695,1024.451,24.452,0.18,0.18,0.7,97.34,7.169,NA,7.184,7.185
"19","2021/03/04","10:04:48",-0.1054,20.402,34.724,NA,53387.071,1024.444,24.444,0.18,0.18,0.7,97.27,7.16,NA,7.175,7.176
"20","2021/03/04","10:04:49",-0.125,20.405,34.717,NA,53377.377,1024.438,24.438,0.15,0.15,0.61,97.14,7.146,NA,7.161,7.162
"21","2021/03/04","10:04:49",-0.125,20.408,34.713,NA,53371.965,1024.434,24.435,0.16,0.16,0.6,97.06,7.136,NA,7.151,7.152
"22","2021/03/04","10:04:49",-0.125,20.408,34.718,NA,53378.893,1024.438,24.439,0.18,0.18,0.6,97.08,7.136,NA,7.151,7.152
"23","2021/03/04","10:04:49",-0.125,20.404,34.718,NA,53379.768,1024.439,24.44,0.16,0.16,0.61,97.03,7.131,NA,7.147,7.148
"24","2021/03/04","10:04:49",-0.1054,20.391,34.725,NA,53391.17,1024.448,24.449,0.15,0.15,0.58,97.13,7.138,NA,7.154,7.155
"25","2021/03/04","10:04:49",-0.125,20.378,NA,NA,NA,1024.469,24.47,0.15,0.15,0.58,97.07,7.132,7.42,7.147,7.148
"26","2021/03/04","10:04:49",-0.125,20.379,NA,NA,NA,1024.47,24.47,0.12,0.12,0.55,97.18,7.14,NA,7.155,7.156
"27","2021/03/04","10:04:49",-0.125,20.38,34.737,NA,53409.95,1024.46,24.461,0.13,0.13,0.57,97.17,7.139,NA,7.155,7.156
"28","2021/03/04","10:04:49",-0.125,20.37,34.743,NA,53419.507,1024.467,24.468,0.15,0.15,0.54,97.16,7.136,NA,7.152,7.153
"29","2021/03/04","10:04:49",-0.125,20.362,34.74,47.966,53416.383,1024.467,24.467,0.17,0.17,0.54,97.21,7.138,7.43,7.153,7.154
"30","2021/03/04","10:04:50",-0.125,20.362,NA,47.975,NA,1024.472,24.473,0.18,0.18,0.6,97.27,7.142,7.43,7.157,7.158
"31","2021/03/04","10:04:50",-0.1446,20.364,34.743,47.973,53420.446,1024.469,24.469,0.17,0.17,0.63,97.23,7.139,7.42,7.154,7.155
"32","2021/03/04","10:04:50",-0.125,20.368,34.741,47.973,53417.191,1024.466,24.467,0.16,0.16,0.61,97.29,7.142,7.42,7.158,7.159
"33","2021/03/04","10:04:50",-0.125,20.369,34.738,47.971,53412.728,1024.464,24.464,0.17,0.17,0.57,97.24,7.139,7.42,7.155,7.156
"34","2021/03/04","10:04:50",-0.1446,20.372,34.733,47.968,53405.999,1024.459,24.46,0.16,0.16,0.6,97.26,7.141,7.43,7.157,7.157
"35","2021/03/04","10:04:50",-0.125,20.377,34.727,47.966,53396.255,1024.453,24.454,0.15,0.15,0.61,97.23,7.139,7.43,7.154,7.155
"36","2021/03/04","10:04:50",-0.125,20.382,34.723,47.966,53390.1,1024.449,24.449,0.15,0.15,0.55,97.11,7.131,7.43,7.146,7.147
"37","2021/03/04","10:04:50",-0.125,20.384,34.72,47.964,53385.549,1024.446,24.447,0.17,0.17,0.54,97.07,7.128,7.43,7.144,7.145
"38","2021/03/04","10:04:50",-0.125,20.388,34.716,47.963,53379.428,1024.442,24.443,0.17,0.17,0.55,97.03,7.126,7.42,7.142,7.143
"39","2021/03/04","10:04:50",-0.125,20.389,34.715,47.963,53377.592,1024.441,24.441,0.15,0.15,0.54,96.98,7.123,7.43,7.138,7.139
"40","2021/03/04","10:04:51",-0.125,20.384,34.714,47.958,53377.648,1024.442,24.442,0.15,0.15,0.51,97.01,7.126,NA,7.141,7.142
"41","2021/03/04","10:04:51",-0.125,20.382,34.719,47.961,53384.099,1024.445,24.446,0.15,0.15,0.53,97,7.125,7.43,7.141,7.142
"42","2021/03/04","10:04:51",-0.125,20.381,34.718,47.959,53383.849,1024.446,24.446,0.18,0.18,0.54,97.07,7.132,7.43,7.147,7.148
"43","2021/03/04","10:04:51",-0.125,20.379,34.721,47.96,53387.959,1024.448,24.449,0.17,0.17,0.57,97.15,7.138,7.44,7.153,7.154
"44","2021/03/04","10:04:51",-0.1446,20.376,34.724,47.961,53392.906,1024.451,24.452,0.15,0.15,0.54,97.06,7.131,7.44,7.147,7.148
"45","2021/03/04","10:04:51",-0.125,20.375,34.724,47.96,53392.204,1024.451,24.452,0.14,0.14,0.55,97.04,7.129,7.43,7.145,7.146
"46","2021/03/04","10:04:51",-0.125,20.375,34.723,47.959,53391.355,1024.451,24.451,0.17,0.17,0.54,96.96,7.123,7.44,7.139,7.14
