//Infinity SDlogger
//Ver0.33
[Head]
SondeName=ASTD152-ALC-R02
SondeNo=0264
SensorType=D0D1T1C1C2K0U3O0TOB0
Channel=10
DelayTime=0
PreHeat=5000
MeasMode=0
BurstTime=1
BurstCnt=1
Interval=100
SampleCnt=520       
StartTime=2021/07/08 08:16:20
EndTime=2021/07/08 08:17:11
DepAdjRho=1.0250
ECA=0
ECB=1
ECDeg=25
ECCoef=0.022
CHLA=0
CHLB=1
CoefDate=2018/09/14
Ch1=-5.961372e-01,+1.973071e-04,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch2=0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch3=-5.407705e+00,+1.068870e-03,-1.252488e-08,+2.881406e-13,-3.487612e-18,+2.526831e-23,+0.000000e+00,+0.000000e+00,
Ch4=+2.693202e-02,+3.729464e+01,+6.225620e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch5=0.000000000e00,1.0000000000000,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
Ch6=-5.052272e+00,+7.654957e-03,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch7=-9.188115e+00,+1.410404e-02,+8.214787e-08,-3.744463e-14,+0.000000e+00,+0.000000e+00,+0.000000e+00,+0.000000e+00,
Ch8=-4.257055e+01,+2.166971e+06,-5.303950e+03,+1.189900e-02,+4.000000e-03,+1.082000e-04,-1.197542779128,1.0235408368619,
Ch9=-5.589018e+00,+1.068669e-03,-1.261244e-08,+2.910993e-13,-3.523354e-18,+2.534095e-23,+0.000000e+00,+0.000000e+00,
Ch10=0.000000000e00,3.484000000e-03,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,0.000000000e00,
BuzzerEN=0
BuzzerInterval=1
COMMENT= 
SensorType2=06070303000202020302
BuzzerNumber=1
DepM=0
CondDepB=0
FilmNo=175120BA
[Item]
日付情報,時刻情報,深度 [m],水温 [℃],塩分 [ ],電導度 [mS/cm],EC25 [μS/cm],Density [kg/m^3],σT [ ],Chl-Flu. [ppb],Chl-a [μg/l],濁度中ﾚﾝｼﾞ [FTU],DO [%],Weiss-DO [mg/l],電池電圧 [V],G&G-DO [mg/l],B&K-DO [mg/l],
2021/07/08,08:16:20,-0.4979,27.575,0.028,0.047,44.638,996.374,-3.624,-0.05,-0.05,0.18,96.81,7.557,7.74,7.578,7.578,
2021/07/08,08:16:20,-0.5372,27.596,0.028,0.046,43.835,996.368,-3.630,-0.08,-0.08,0.14,96.63,7.541,7.76,7.562,7.563,
2021/07/08,08:16:20,-0.5372,27.620,0.028,0.047,44.437,996.361,-3.636,-0.11,-0.11,0.10,96.70,7.546,7.78,7.567,7.568,
2021/07/08,08:16:20,-0.5372,27.640,0.028,0.047,44.320,996.356,-3.642,-0.08,-0.08,0.17,97.04,7.572,7.78,7.593,7.594,
2021/07/08,08:16:20,-0.5372,27.647,0.028,0.047,44.095,996.354,-3.644,-0.08,-0.08,0.21,96.96,7.567,7.79,7.588,7.588,
2021/07/08,08:16:20,-0.5372,27.642,0.028,0.047,44.197,996.355,-3.642,-0.07,-0.07,0.18,96.89,7.562,7.80,7.583,7.583,
2021/07/08,08:16:20,-0.5372,27.636,0.028,0.047,44.396,996.357,-3.641,-0.10,-0.10,0.14,96.77,7.552,7.81,7.573,7.574,
2021/07/08,08:16:20,-0.5372,27.617,0.028,0.047,44.411,996.362,-3.635,-0.11,-0.11,0.17,96.82,7.556,7.81,7.578,7.578,
2021/07/08,08:16:20,-0.5372,27.576,0.028,0.047,44.254,996.374,-3.624,-0.11,-0.11,0.10,96.88,7.563,7.81,7.585,7.585,
2021/07/08,08:16:20,-0.5176,27.541,0.028,0.047,44.298,996.384,-3.614,-0.14,-0.14,0.07,96.90,7.567,7.83,7.589,7.589,
2021/07/08,08:16:21,-0.5176,27.545,0.028,0.047,44.477,996.382,-3.615,-0.09,-0.09,0.03,96.84,7.565,7.84,7.587,7.587,
2021/07/08,08:16:21,-0.5372,27.545,0.028,0.047,44.753,996.382,-3.615,-0.07,-0.07,0.09,96.87,7.570,7.83,7.591,7.592,
2021/07/08,08:16:21,-0.5176,27.534,0.028,0.047,44.379,996.386,-3.612,-0.08,-0.08,0.11,96.95,7.579,7.85,7.601,7.601,
2021/07/08,08:16:21,-0.5372,27.529,0.028,0.047,44.074,996.387,-3.611,-0.07,-0.07,0.13,97.05,7.590,7.84,7.611,7.612,
2021/07/08,08:16:21,-0.5372,27.516,0.028,0.047,44.331,996.391,-3.607,-0.08,-0.08,0.13,97.17,7.600,7.84,7.622,7.622,
2021/07/08,08:16:21,-0.5176,27.500,0.028,0.047,44.258,996.395,-3.603,-0.08,-0.08,0.13,97.17,7.599,7.86,7.621,7.621,
2021/07/08,08:16:21,-0.5176,27.478,0.028,0.047,44.240,996.401,-3.597,-0.06,-0.06,0.14,97.04,7.589,7.87,7.611,7.611,
2021/07/08,08:16:21,-0.5176,27.475,0.028,0.047,44.282,996.402,-3.595,-0.07,-0.07,0.11,96.99,7.583,7.87,7.605,7.605,
2021/07/08,08:16:21,-0.5176,27.453,0.028,0.047,44.538,996.408,-3.589,-0.07,-0.07,0.14,96.91,7.576,7.86,7.598,7.598,
2021/07/08,08:16:21,-0.5372,27.450,0.028,0.047,44.188,996.409,-3.589,-0.07,-0.07,0.16,96.88,7.573,7.87,7.594,7.594,
2021/07/08,08:16:22,-0.5372,27.452,0.028,0.047,44.490,996.409,-3.589,-0.06,-0.06,0.14,96.95,7.577,7.87,7.598,7.598,
2021/07/08,08:16:22,-0.5372,27.464,0.028,0.047,44.303,996.405,-3.592,-0.08,-0.08,0.07,96.86,7.569,7.87,7.591,7.591,
2021/07/08,08:16:22,-0.5176,27.467,0.028,0.047,44.540,996.405,-3.593,-0.04,-0.04,0.09,96.87,7.570,7.87,7.591,7.591,
2021/07/08,08:16:22,-0.5176,27.469,0.028,0.047,44.476,996.404,-3.594,-0.06,-0.06,0.11,96.91,7.573,7.88,7.595,7.595,
2021/07/08,08:16:22,-0.5372,27.483,0.028,0.047,44.301,996.400,-3.598,-0.06,-0.06,0.14,96.88,7.571,7.88,7.592,7.592,
