"","date","time","depth","water_temp","salinity","conductivity","ec25","density","sT","chl_f","chl_a","tur_range","do","weiss_do","v","gg_do","bk_do"
"1","2021/06/10","14:20:11",-0.439,NA,31.326,NA,47683.722,1019.19,19.192,0.29,0.29,0.82,96.48,6.166,NA,6.183,6.184
"2","2021/06/10","14:20:11",-0.439,NA,31.317,NA,47670.335,1019.183,19.184,0.29,0.29,0.78,96.65,6.176,NA,6.193,6.194
"3","2021/06/10","14:20:11",-0.439,NA,31.314,NA,47666.459,1019.181,19.182,0.26,0.26,0.8,96.87,6.188,NA,6.206,6.206
"4","2021/06/10","14:20:11",-0.439,NA,31.32,NA,47675.026,1019.184,19.186,0.28,0.28,0.81,97.05,6.2,NA,6.218,6.218
"5","2021/06/10","14:20:11",-0.4194,NA,31.319,52.257,47672.194,1019.178,19.18,0.28,0.28,0.81,97.32,6.217,NA,6.234,6.235
"6","2021/06/10","14:20:11",-0.4194,29.388,31.325,52.282,47679.278,1019.177,19.179,0.29,0.29,0.8,97.46,6.225,NA,6.243,6.243
"7","2021/06/10","14:20:11",-0.439,29.404,31.319,52.289,47670.577,1019.168,19.17,0.27,0.27,0.8,97.64,6.237,NA,6.254,6.255
"8","2021/06/10","14:20:11",-0.4194,29.418,31.314,52.295,47662.59,1019.159,19.161,0.28,0.28,0.82,97.92,6.253,NA,6.271,6.271
"9","2021/06/10","14:20:11",-0.4194,29.425,31.31,52.296,47656.325,1019.154,19.155,0.25,0.25,0.84,97.99,6.258,NA,6.275,6.276
"10","2021/06/10","14:20:12",-0.4194,29.427,31.318,52.309,47666.25,1019.159,19.16,0.25,0.25,0.82,98.36,6.281,NA,6.298,6.299
"11","2021/06/10","14:20:12",-0.4194,29.426,31.334,52.332,47688.781,1019.171,19.173,0.27,0.27,0.85,98.67,6.301,NA,6.319,6.319
